#{"t_start": 1711030212.498167, "env_id": "LunarLander-v2"}
r,l,t
5.193998,146,243.259697
228.47057,263,243.443565
254.236007,261,243.624619
256.141238,248,243.794001
26.434087,144,243.892635
297.26192,309,244.104203
289.921679,378,244.362807
242.646049,230,245.267961
233.931925,237,245.432718
56.980742,250,245.602876
277.81281,273,245.790022
2.804153,123,245.874886
256.197211,264,246.057238
270.149569,373,246.315086
267.562224,240,246.480548
288.639609,278,247.491814
267.944109,182,247.616797
273.173419,248,247.786536
40.363965,213,247.932241
277.806343,266,248.113401
58.976233,209,248.256109
246.855227,285,248.453865
279.400299,441,248.758237
269.399136,235,249.68535
247.257127,264,249.866981
249.536915,204,250.006629
252.046973,281,250.199343
241.73045,225,250.354483
14.459021,139,250.531671
286.380183,383,250.747384
275.6364,299,250.917178
175.350953,381,251.13383
251.590381,309,251.305657
-23.808809,156,251.417849
261.513514,216,251.566193
288.300072,259,251.74315
272.502734,239,297.971693
266.922074,281,298.136699
233.795086,258,298.284395
226.263273,241,298.435455
235.495161,248,298.581774
239.653298,235,298.700011
127.12461,606,299.046191
264.207922,274,299.216992
273.630403,324,299.408143
247.237198,292,299.577594
